wallet_address,transaction_hash,block_time,action_type,amount_usd,token_symbol,gas_fee_usd,transaction_status
,0x8584b936f6c6cb6240e704c222694e88e7c9a708f58448720c498d4ff99b461c,2026-04-24T08:08:26Z,swap,9.58,USDC,0.0759,success
0xc059aeec32fc5b9690031bdd642377c32abefe12,,2026-04-24T15:56:41Z,swap,456.69,USDC,0.0735,success
0x602967384044966d9305439b02fc7978828bdfc8,0xbaceab779e16bb25c9efcb7cf81c5e503a36fc07ef1a28d369c68c30e5de8daf,2026-04-25T18:06:53Z,swap,60.59,WETH,0.0498,success
0xd89da6f7a33d201b18b176999f39847142b2bba3,0xbaceab779e16bb25c9efcb7cf81c5e503a36fc07ef1a28d369c68c30e5de8daf,2026-04-26T03:06:07Z,swap,433.86,USDC,0.0357,success
0x8a630aaf52f9930cb631a18a5b0ab10da8ee403d,0x2b55dfb295be79469129a6afb20fbc8f5cc843fbee18f9aacf6f5733d4835e57,not-a-valid-time,swap,55.68,USDC,0.0614,success
0x5d3d604cc7cdf00ee9acd473c124875337dd6bbf,0xbd4556c39ac2440b0c565986043411012eb0fec5cdb0a26445c57cf96b41c47f,2026-04-26T12:40:39Z,add_liquidity,,USDC,0.0743,success
0xb2a5450c8a346797b73e44dd8076e7421829f25a,0x1ea4d77a8e8ca2d179a36626ba79959ac6d5dedede3342bb2fae8285759fab38,2026-04-26T13:19:56Z,swap,abc,USDC,0.0694,success
0x693a5c27576625f41accfb0f9bedfa6d35a03fce,0xf2a63e1887a0c8701938e3a20044c4627122fa6c7ba7aa454ff7fd62c1fdd85e,2026-04-26T14:42:36Z,swap,-100,USDT,0.0317,success
0x13ba80f1b49a7d5ae543af57699f8aa9dbd8c723,0xa6c7d2f55c2e4e228c783df3ad55dce9ad801d7d1c5cbe05bfe282a234619073,2026-04-26T15:37:51Z,swap,0,USDC,0.0496,success
0x8be0b1f981bbdad10bc7f4aee8547b2483139e98,0x965fbd096dc38479a7cdb35edc4d7858bdc28f381b2b32e7b1eb057312fa184f,2026-04-26T17:15:09Z,swap,11.26,USDC,0.0025,failed
0x1234,0xeaea0aaed90670a55d2cb6bf5b8397c8881d6782647d1318f04f5334bbc8b644,2026-04-26T23:59:21Z,swap,223.36,MON,0.0517,success
0x18443d15dc82fc8a5f75b851c484f132fd79b815,0xabc,2026-04-27T07:04:43Z,swap,2983.71,USDT,0.0654,success
0x693a5c27576625f41accfb0f9bedfa6d35a03fce,0x092e6eef980ed9c9af80b78d07c1ab8d8bdcd4c328a3d07f2221e98a9e1da048,2026-04-27T09:39:55Z,,237.85,WETH,0.0474,success
0x602967384044966d9305439b02fc7978828bdfc8,0x58730741bd0ea20405495584a79d480f10bbde14ef44f78835f2e696424b4d44,2026-04-27T09:56:00Z,unknown_action,68.77,WETH,0.0245,success
0x18443d15dc82fc8a5f75b851c484f132fd79b815,0x9c18d1ce669e149600035136edbf55a1632080512c0545f29ceb4538b32a6fd8,2026-04-27T17:25:25Z,swap,1297.26,MON,0.0197,pending
0x01cab2fc714847e82a806081c94444f74d3c835f,0x63395bd0d3470bcefb962b7e4ff0b2a77002341f92adff3c441ee3209dc36c8d,2026-04-27T19:57:17Z,swap,75.3,,0.0394,success
0x01cab2fc714847e82a806081c94444f74d3c835f,0x45163d3df2617745bc7717408fe9ed50838f1d002f1f9058cf25492b31ba593a,2026-04-28T02:35:13Z,swap,75.56,USDC,invalid-gas,success
0x05efb2c5902d1212f5a23df263528ab1460deff3,0x96e9b80214f12699495750290e3ac16077879e06bfedcc88fedf9f362104aa44,2026-04-28T04:55:04Z,swap,233.88,MON,-0.5,success
0x1d431e4f5679fab78d8175bb6daa04a1adde84f7,0x9e58a0edef6a98bf32b13658ea4c04f744f7b58d96c7af4e024bb11866731964,2026-04-28T05:07:17Z,swap,183.48,WETH,0.0775,success
0x13ba80f1b49a7d5ae543af57699f8aa9dbd8c723,0x6e685a657f0bef122ae664387b1cb61acdc101ec19778084bb7bb735e42e88ca,2026-04-28T12:33:47Z,swap,121.05,USDC,0.0365,success
,,,,,,,
0x13ba80f1b49a7d5ae543af57699f8aa9dbd8c723,0x6e685a657f0bef122ae664387b1cb61acdc101ec19778084bb7bb735e42e88ca,2026-04-28T12:33:47Z,swap,121.05,USDC,0.0365,success
